id,name,contact_info,expertise,membership,experience,style_approach,availability,created_at,updated_at
145,John Asaad,irobinson@patel-sherman.com,"Contractual disputes, housing disputes and general civil matters.LanguagesEnglish, Arabic",Civil-commercial mediator: ADR-ODR International (2017),"Pupil Barrister, 9 Bedford Row (2017 – present)Volunteer mediator, St Mary’s Church, Coulsdon (2017 – present)Volunteer advocate, Free Representation Unit (2016 – 2017)Volunteer advocate, Communities Empowerment Network (2014 – 2015)Appropriate Adult volunteer, Southwark Council (2014 – 2015)","John takes a practical approach to mediation and always adds a personal touch. This allows the parties to become more comfortable with one another and look at the big picture, which in turn allows them to reach agreements even when it seems most unlikely. John’s training as a barrister has proved to be an effective tool in conveying one party’s views to the other party with a positive spin that is conducive to progress.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.481154,2024-05-26T09:44:17.481166
146,Jonathan Eshkeri,ifranco@yahoo.com,"Cross-border / cross-cultural commercial disputesLanguagesEnglish, Spanish, Catalan",Member of the Chartered Institute of ArbitratorsQualified in 2017,"Director / Shareholder of E&G Solicitors, 20 Little Britain, London EC1A 7DH, United Kingdom, Solicitor of the Senior Courts of England & Wales on the Roll of Solicitors since 1 March 2001; Spanish lawyer (Abogado), member of the Illustrious College of Lawyers of Tarragona, Spain, registered since 7 July 2004.","I employ the facilitative model of mediation. I am expert at helping to create the correct environment for the parties to make their own decisions without feeling under pressure to do so. My special linguistic and cultural knowledge provides me with the ability to mediate between parties who may not speak the same language or understand the same cultural norms, factors which may otherwise make it more difficult for them to understand each other’s interests and needs and so to reach settlement during the course of the mediation.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.482113,2024-05-26T09:44:17.482125
147,Professor Jonathon Read,qrandall@mccarthy.biz,"Civil and Commercial; Emerging Markets; Banking and Financial Services; Insurance; Asset Management; Debt and Equity Restructuring; FinTech; Blockchain and Distributed Ledger Technology; Personal Finance, Estates and Trusts; Planning, Licensing and Regulation; Academic ConductLanguagesEnglish (Native)Spanish (Professional Working)","Accredited Civil-Commercial Mediator (ADR-ODR International, 2018)Chartered Fellow, Chartered Institute for Securities & InvestmentFellow, Personal Finance SocietyAssociate, Chartered Insurance InstituteChartered Financial AnalystChartered Financial Planner/European Financial Planner","I have held board-level executive and non-executive positions in the financial services industry with a focus on investment banking, asset management, derivatives and emerging markets. This includes regulated positions under SMCR and experience of obtaining regulatory approval from the FCA and PRA in relation to challenger banking and alternative finance structures. I have experience of many developed and emerging jurisdictions across Europe, Africa and the Americas, including the Caribbean and Latin America. I combine this with relevant experience in: politics, having held elected office and chaired public bodies; law, being called to the Bar; policy, having acted as policy director for a prominent asset management trade body, including policy paper authorship and submissions to regulators and government, and; finance and business education, as a Professor of Finance.","I combine an open and collaborative style of mediation with senior commercial experience, deep and broad professional knowledge, and academic and professional credentials. I can provide evaluative input upon request, drawing on my professional background and quasi-judicial experience sitting on planning and regulatory committees. My scientific and academic background synergizes with my business experience and legal training to allow me to evaluate and absorb information rapidly and engage with new technologies and novel business structures.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.483338,2024-05-26T09:44:17.483349
148,Kim Kortlepel,jillreese@ryan.net,"Civil/Commercial Mediator, Online Dispute Resolution Specialist,Mediation Trainer, Negotiator and Associate ArbitratorDigital Dispute Resolution Specialist (DDRS)LanguagesEnglish and German",Member of the Honourable Society of Gray’s InnSIMI Panel MemberYMI MediatorPast Member of the Adjudication SocietyYoung ICCA MemberDDRS Panel MemberPeacebuilder with Mediators Beyond Borders International (MBBI)Rotarian - London Rotary Passport Club (President 2023/2024), ADR ODR International Civil/Commercial Mediator and Mediation Trainer CurrentAccredited in 2018Associate Arbitrator ADR ODR International 2019International Executive Negotiation & Conflict Management SkillsADR ODR International 2019Online Dispute Resolution ADR ODR International 2018Called to the Bar of England and WalesThe Honorable Society of Gray’s Inn 2018Academic QualificationBar Professional Training CourseBPP University 2017 – 2018Graduate Diploma LawBPP University 2016 – 2017LLM International LawUniversity of Westminster 2014 – 2016BA Business Management – LawUniversity of Westminster 2011 - 2014,"Kim is a facilitative mediator. She helps participants focus on the opportunity that lies in the middle of their dispute.  It is her goal to create an atmosphere in which participants can express their point of view, concerns and wishes openly. Kim supports and encourage participants to make and reflect on offersin order to hopefully reach a mutually beneficial solution to the dispute. Kim specialises in Online Dispute Resolution. She has mediated and co-mediated many disputes online. ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.485636,2024-05-26T09:44:17.485646
149,Kishan Bhatt,browningjohn@lawrence.net,"   Profession  Solicitor and Mediator   Areas of expertise   I am a trained Barrister and a qualified Solicitor. I have worked in Alternative Dispute Resolution, with an emphasis on mediation, for the past eight years. I have significant experience in civil and commercial disputes, workplace disputes, family disputes and community disputes.  I have extensive experience in Online Dispute Resolution, cross-cultural mediation, and conflict management.   Country of Practice   UK    Languages  English, Gujarati and Hindi    ",The ADR Group: Accredited in 2011ADR ODR International: Accredited in 2020,"Taylor Rose TTKW – Consultant Solicitor, Mediator and Dispute Resolution Specialist (2019 – Present) The London Law Practice - Consultant Solicitor, Mediator and Dispute Resolution Specialist (2014 – 2020)","As an experienced mediator, Kishan is calm and focused on achieving the parties’ objectives. Kishan is able to listen carefully to what the parties want to achieve and has excelled in finding creative solutions to complex problems. Kishan is particularly good at being able to digest a large volume of information in a short amount of time and works very hard to do everything he can to find a resolution for the parties.Kishan’s mediation style is collaborative while still ensuring that the parties are able to achieve their objectives in the best possible way.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.487195,2024-05-26T09:44:17.487205
150,Kiran Jain,selena67@hotmail.com,"Property and Infrastructure, Finance, Banking and Debt Recovery, White Collar Crime, Commercial Law Disputes, Defamation, Trusts, Alternative Dispute Resolution, and Criminal cases.LanguagesEnglish (Native)Hindi (Fluent)Marathi (Fluent)Marwari (Fluent)Gujarati (Fluent)",Member of the Bar Council of India,"Commencing his independent practice in 1991, Advocate Mr. Kiran Jain is the founder of Kiran Jain & Co with original team of 30 cross-functional professionals and ancillary staff. He continuously challenged the status quo and dynamically set-up and expanded his office premises and staff base to become one of the leading Law Firms in India. Over a span of 30 years, he has won the trust of several High Net-worth Clients and built a strong loyal client base through personal engagements and his unrivalled expertise in litigation and dispute resolution. He has great knowledge in litigation and is a trusted lawyer for Trial Strategy, Cross-Examination and Settlement Negotiations. He is also an expert in Alternative Dispute Resolution and has handled several complex Arbitration and Mediation cases during his tenure. Mr. Kiran Jain's multi-disciplinary practice in various Courts and experience in conducting Trial and cross-examination is unparalleled. He has advised leading real-estate developers and large-scale mega developers with upcoming Luxury Projects in up-scale areas of Mumbai, India, handled project financing and share purchase transactions for several large companies and consortiums, represented a top-level wealth management service provider ranked in top 5 institutions as per UK Hedge fund Rating, Handled high-value developer projects which have been commercially exposed as high-value frauds and scam projects, advised High Net-worth Individuals, well-renowned families and Television Actors and Producers, successfully dealt with several high-profile cross-examinations in multiple disciplines of litigation related to real-estate disputes, business, and economic crimes, handled several high-profile white-collar crime investigations, cases and trial relating to money-laundering cases, anti-corruption cases, financial frauds cases, Bank fraud cases, etc.Kiran has also acted as a Mediator in 25 high-value commercial cases and Out of which 17 Disputes were settled using Mediation techniques encouraging parties to settle their disputes.","Transformative Approach: I believe majority of conflicts are due to a crisis in human interaction. With technology being highly accessible and while humans are well educated on most topics/subjects, a mediator's role has become imperative to guide interaction between humans. As discussions take place and each party listens to each other, they develop new understandings of the situation and are able to better assess the issues in hand and make their own decisions. The decisions are driven by allowing parties to see the dispute from the other party’s perspective. The outcome is purely in the Clients hands and dependent on their own choices. My style of medication is people centric and not problem centric and generally ends with long-standing relationships being built between Clients.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.488191,2024-05-26T09:44:17.488202
151,Lailatul Zubaidah Hussain,julie29@adams.biz,"Commercial disputes, family and divorce mediationsLanguagesEnglish and Bahasa Melayu","Former Legal Counsel at the Attorney General’s Chambers of Brunei DarussalamFormer Judge of the Intermediate Courts and Commercial Courts of Brunei DarussalamFormer Senior Magistrate of the Subordinate Courts of Brunei DarussalamFormer High Court Registrar of the Supreme Court of Brunei DarussalamFormer Deputy Official Receiver of the Official Receiver’s office.Mediation experiences include mediating divorce matters in the High Court as a High Court Registrar, mediating commercial disputes in the Commercial Court and mediating small claims in the Small Claims Tribunal under the purview of the Subordinate Courts of Brunei Darussalam.","Former Legal Counsel at the Attorney General’s Chambers of Brunei DarussalamFormer Judge of the Intermediate Courts and Commercial Courts of Brunei DarussalamFormer Senior Magistrate of the Subordinate Courts of Brunei DarussalamFormer High Court Registrar of the Supreme Court of Brunei DarussalamFormer Deputy Official Receiver of the Official Receiver’s office.Mediation experiences include mediating divorce matters in the High Court as a High Court Registrar, mediating commercial disputes in the Commercial Court and mediating small claims in the Small Claims Tribunal under the purview of the Subordinate Courts of Brunei Darussalam.","Having served as a Magistrate and a Judge for almost 20 years, Zubaidah witnessed first hand the complexities and strain on human relationships between parties caught up in the litigation process. As a result, Zubaidah understands fully, the detrimental effect that disputes have on both people and business, as well as the importance of bringing matters to a sensible conclusion at the earliest opportunity. Zubaidah is a great believer in utilizing dialogue to keep people out of court and preserve relationships.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.427566,2024-05-26T09:44:17.427578
152,Laura Tweedy,johngood@smith.com,"Property and land disputes including: Residential and commercial landlord and tenant, Lease negotiation and renewals, Forfeiture, Possession, 1954 Act claims and renewals, Break clauses, Rent reviews, Service charge, Disrepair, Dilapidations, Consents (alterations, assignments, sub-letting etc) Real property: Trusts, Boundary disputes, Rights to light, Rights of way, Neighbour disputes, Covenants, Party walls etc Relationship breakdown Social housing Online mediation",ADRg Property Bar Association Women in Property Chancery Bar Association ,Barrister since 2007,"Laura is a results driven, pragmatic and methodical mediator. She is able to put parties at their ease even in the most challenging circumstances. With over 12 years legal experience at the property bar Laura is ideally placed to cut through complex legal disputes. Her personality traits also naturally guide to her being extremely successful dealing with highly contentious emotionally fraught disputes.As a barrister Laura is Praised as being “Very thorough and practical, she’s focused on how to settle cases where possible. Clients talk about her in a very passionate way.” (Chambers, UK) as well as “Incredibly impressive on the client care front and very good at getting to the heart of a case. She takes a pragmatic, commercially minded approach to matters.” (Chambers, UK) and “Helpful, efficient and accessible, she goes the extra mile” (Legal 500)","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.429044,2024-05-26T09:44:17.429053
153,Dr. Louisa Sherlock,kevin97@reed.net,"Personal Injury, Clinical Negligence, Commercial and Contractual Disputes and Company Disputes, particularly those involving medical professionalsProfessionsDental Surgeon (2006 - 2017)Barrister (2018 - present)Country of Practice UKLanguagesEnglish","Member of the Joint Dental Faculties of the Royal College of Surgeons, England,Denning Scholar, Lord Denning Society, The Honorable Society of Lincoln’s Inn, LondonNorth of England Medicolegal society","Dentistry (Dental Surgeon)West Auckland Dental Practice, 2006 - 2007Ryton Dental Practice 2007 - 2015 (mostly NHS)Bedlingtonshire Dental Practice 2015 - 2017 (private dentistry)BarristerTrinity Chambers, Newcastle upon Tyne, 2018 - 2020No5 Chambers, Birmingham, London, Bristol, Leicester, 2020 - presentMediatorI qualified as a mediator in 2017 "," Given my background as a dental surgeon, I am experienced at helping participants feel relaxed in a stressful situation. I am also experienced at listening and then breaking down complex legal and medical problems into more understandable language in order to help participants reach an outcome that they desire. I am patient, calm, conscientious and supportive, and I will make every effort to help participants reach a solution which all parties are happy with.   ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.430322,2024-05-26T09:44:17.430333
154,Maja Linkinoska,davidmcfarland@hurley.org,"Profession/s Maritime legal managerAreas of Expertise Maritime law, international transport and insurance.Country of Practice Australia, New Zealand, Dubai and LondonLanguagesEnglish, Macedonian, ","AFCA in Australia – working as case analyst for the Ombudsman service handling disputes between consumers and insurance companies. – year 2016Maersk shipping line in Australia – handling shipping claims and disputes years 2000 to 2007P&I Clubs in London – handling shipping insurance related disputes – years 2007 to 2012Allianz Insurance – Litigation consultant – 2017-2018AAW Global Logistics Melbourne based – Group risk and claims manager – handling insurance and shipping disputes – 2018-2019GAC – Correspondent for the Middle East handling disputes between shipping companies and customers, also insurance companies – current since August 2020","AFCA in Australia – working as case analyst for the Ombudsman service handling disputes between consumers and insurance companies. – year 2016Maersk shipping line in Australia – handling shipping claims and disputes years 2000 to 2007P&I Clubs in London – handling shipping insurance related disputes – years 2007 to 2012Allianz Insurance – Litigation consultant – 2017-2018AAW Global Logistics Melbourne based – Group risk and claims manager – handling insurance and shipping disputes – 2018-2019GAC – Correspondent for the Middle East handling disputes between shipping companies and customers, also insurance companies – current since August 2020","I am a very good listener and great at holding space for people making them feel comfortable to communicate personal and sensitive issues. I am naturally a non-judgmental person and a peace-maker, always willing to help people find their peace.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.431357,2024-05-26T09:44:17.431369
155,Manmohan Singh,ehunter@gmail.com,"Contractual disputesInternational/cross-border disputesOnline dispute resolution (ODR)LanguagesEnglish, Punjabi","ADR Group Accredited Civil & Commercial Mediator, 2016ADR Group Accredited Online Mediator, 2016Civil Mediation Council Registered Mediator, 2016Member of the Law Society of England and Wales, 2005Solicitor of the Senior Courts of England and Wales, 2005","DWF LLP, Director2013 – PresentResponsibilities relating to mediation","I bring my background and benefit of experience in international corporate matters to my mediation practice. I have over a decade of experience based in one of the world’s major financial centres, the City of London, advising companies and high net worth individuals on their corporate affairs including, among other things, negotiation of high-value, multi-party and multi-jurisdiction contracts. Much of my experience is cross-border, with a particular focus on South and South East Asia, which allows me to approach situations with the appropriate cultural sensitivity. Whilst my native language is English, I’m also bi-lingual in Panjabi. In addition to my mediation and legal practice, I’m a magistrate in one of England’s busiest Local Justice Areas. Accordingly, I’m no stranger to approaching matters with integrity and active listening.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.432534,2024-05-26T09:44:17.432546
156,Maruf Hossain Abir,stanner@robinson.com,"MediationCivil & Commercial Disputes and Family DisputesArbitration Commercial and Contractual LanguagesEnglish, Bengali,Hindi","Associate Counsel at Khaled H Chowdhury & Associates (Dispute Resolution Specialists) 2021Associate Arbitrator & Mediator: C&U Dispute Resolution Specialist (DRS) 2020Co-Founder: ADR Cell - 2019Country Director (Programmes) ADR-ODR International, Bangladesh 2018- PresentCo-Ordinator (Programmes): London collage of Legal Studies (South) 2018-PresentLecturer: London Collage of Legal Studies (South) 2018 - Present Mediation Workshops: LCLS(South)Associate: Old Bailey Chamber Associate: Shakhawat Hossain & Associates ","Associate Counsel at Khaled H Chowdhury & Associates (Dispute Resolution Specialists) 2021Associate Arbitrator & Mediator: C&U Dispute Resolution Specialist (DRS) 2020Co-Founder: ADR Cell - 2019Country Director (Programmes) ADR-ODR International, Bangladesh 2018- PresentCo-Ordinator (Programmes): London collage of Legal Studies (South) 2018-PresentLecturer: London Collage of Legal Studies (South) 2018 - Present Mediation Workshops: LCLS(South)Associate: Old Bailey Chamber Associate: Shakhawat Hossain & Associates ","I prefer facilitative mediation also known as traditional mediation. As a professional mediator I believe a mediation is only successful when the mediator attempt to facilitate negotiation between the parties in conflict without making any suggestions or recommendations. A mediator, throughout the process must encourages the parties to the dispute to reach a solution to their own dispute keeping in mind each others' main interest. A solution to the dispute that is Good for both the parties. A Win-Win Solution.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.433919,2024-05-26T09:44:17.433927
157,Maximiliano Marzetti,christyarmstrong@yahoo.com,"ProfessionAssistant professor of Law, IESEG School of Management, ParisIntellectual property, international commercial contracts, business disputes involving Latin American and European partiesCountry of Practice Argentina and FranceLanguagesEnglish,Spanish Italian","Coach of the Mediation Team of the Université Catholique de Lille, School of Law, and IÉSEG School of Management, 15th and 16th ICC International Commercial Mediation Competitions2019-2020 Professor of International Commercial Mediation Practice, Double Diplôme International Business and Law, Université Catholique de Lille, School of Law, and IÉSEG School of ManagementFormer mediator and trial lawyer, Buenos Aires, Argentina","Coach of the Mediation Team of the Université Catholique de Lille, School of Law, and IÉSEG School of Management, 15th and 16th ICC International Commercial Mediation Competitions2019-2020 Professor of International Commercial Mediation Practice, Double Diplôme International Business and Law, Université Catholique de Lille, School of Law, and IÉSEG School of ManagementFormer mediator and trial lawyer, Buenos Aires, Argentina","I apply behavioural law and economics principles to mediation, for instance, to de-bias the parties","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.434634,2024-05-26T09:44:17.434642
158,Md. Harun Or Rashid,ecordova@gmail.com,"Negotiation: Bilateral or multilateral negotiation.Mediation: Family, commercial, contractual, personal injury, employment.Arbitration: Commercial, contractual, construction, employment etc.LanguagesEnglish, Bengali","Additional District and Sessions Judge, from 23.03.2020 to till today at 1st Court of Settlement, Dhaka.          Joint District and Sessions Judge, from 25.08.2015 to 22.03.2020, Bangladesh Judiciary.","Additional District and Sessions Judge, from 23.03.2020 to till today at 1st Court of Settlement, Dhaka.          Joint District and Sessions Judge, from 25.08.2015 to 22.03.2020, Bangladesh Judiciary.","As a practicing judge for more than a decade, my professionalism and sense of moral code will be my specialty to perform as a mediator in any categories of disputes. To me, mediation is a systematic facilitative or transformative process that allows two or more parties to comprehend their issue(s) of difference through an experienced neutral third party who can help them to mitigate their differences and issues of contention from their own understanding. During mediation I always love to be an open minded, transparent, trustworthy, compassionate, persuasive, understandable, non-judgmental and very careful to express my emotion in any issue. I love to guide the parties to find out the win-win palpable solution through lessening their gaps. In fact, my previous long days experience in the judiciary and study in the very arena of dispute resolution has given a solid understanding to comprehend easily the state of mind of the parties, differences of culture, issues of conflict, possible solutions, and prepare a well-balanced agreement after the settlement. After all, I would prefer to classify my style of mediation as an accommodative and collaborative with synchronization of integrity and punctuality while dealing with the disputing parties at the table of mediation.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.435406,2024-05-26T09:44:17.435414
159,Michael Krebs,xhudson@hotmail.com,"   Profession  Barrister and Mediator   Areas of expertise  contractual disputes , housing, personal injury, clinical negligence   Country of Practice   UK    Languages  English    ","Society of Mediators, London","Practising civil Barrister since 2001, Bar of England and WalesPIBA ","Although I bring years of experience as a court room barrister, my mediation style is informal but serious when it needs to be. I believe in putting people at ease to make the process as comfortable as possible. I never lose sight of my own neutrality. ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.436229,2024-05-26T09:44:17.436237
160,Michel Rahman Rener,ortegadonna@lewis-bean.com,"ODR, Place of work, Civil, Conflict Resolution, Peer Mediation. I am a psychologist and life coach.LanguagesEnglish, French",ADR group UK2014,"35-year experience in Peer Mediation, Conflict resolution at work; at home between parents and children and amongst siblings; at school between teachers and students and amongst students. Train people of all ages develop core skills of self-awareness and self-management; mutual understanding, empathy and cooperation. - ADR trainer & Life CoachI am an educational psychologist, trained mediator and has been an active ADR-ODR International faculty member for many years. He has set up On the Parenting Journey to support parents and teachers respond to conflicts in positive ways. On the Parenting Journey offers a menu of programmes for parents and caregivers. Through the support of a skilled facilitator, small groups of parents and teachers come together in a supportive, engaging and affirming environment to catch breath, reflect, share and learn simple and effective relationship management techniques and skills to support themselves and their children towards increasingly congruent, respectful and supportive communication. The programme is offered through multiple modes from one off taster sessions, short series of sessions on specific themes, regular weekly sessions for a self-managing community of parents and teachers.","I create a caring environment that helps parties get in touch with their own personal resources in order to unlock the cause of the conflict. I support them and manage any form of conflict with respect, dignity and mutual understanding. This enables parties to create dialogue in order to find short and long term solutions they can live with. This frees them to continue their life journey with clarity, increased internal peace and awareness.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.438008,2024-05-26T09:44:17.438018
161,??Mihir Govilkar,crystalsullivan@yahoo.com,"Profession/s Lawyer & MediatorAreas of expertise  Civil & commercial disputes Contractual disputes Consumer disputes  Intellectual property disputes Testamentary, inheritance and succession related disputes Tort disputes  Commercial & residential property disputes Landlord & Tenant Professional negligence disputes Education law Cooperative Societies Public & Private Trusts Matrimonial disputesCountry of Practice IndiaLanguagesEnglish, Marathi & Hindi (Fluent)French (Working Proficiency)","Education: BMS, LL.B., MBA, MSc in Finance Member – Bar Council of Maharashtra & Goa Member – Advocates’ Association of Western India Member – Bombay Bar Association 45-Hours training in Mediation from the Indian Institute of Corporate Affairs under the aegis of the Ministry of Corporate Affairs, India. Civil/Commercial Mediation training from ADR ODR International Mediation Advocacy course conducted by Adv. Jawad A.J., offered by KD Lex Chambers.  ODR Course from ADR ODR International","I am a Partner at Govilkar & Associates LLP, a full-service law firm providing services in advisory, litigation, arbitration and mediation to clients in and around Mumbai. The firm primarily takes up litigation in the Bombay High Court and the Bombay City Civil Court in addition to the other subordinate Courts/Tribunals in and around Mumbai. ","I mediate using the facilitative style of mediation through empathy and patient listening. I develop a system of communication with the parties and build trust. I ensure that the parties are comfortable during the mediation process and that they feel free to share whatever they want to with me in order to reach a resolution of their dispute. The Mediation process is structured, using joint and private sessions. My prime objective is a settlement. To achieve this, I attempt to gather all the necessary information to identify the root causes and address them directly. The culmination of the mediation process is usually a written agreement that the parties are happy to commit to.er a settlement agreement which enables both sides to achieve their goals.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.439014,2024-05-26T09:44:17.439024
